<FG2 'FG2-SHELL V4.03' (Nov 25 2020) NOW(UTC):01.08.2023 21:35:18>,,,,,
<FILE: C:\FG2_Shell_V3\data/A543E3/raw/A543E3_20230801133449.f2b>,,,,,
<LOGGER: $A543E3>,,,,,
<FILESIZE: 125196 Bytes>,,,,,
<MEMORY CLEAR>,,,,,
<PARAMETER_SET: C:\FG2_Shell_V3\data/A543E3/par/A543E3_20220923212752.f2p>,,,,,
<PERIOD: 3600 sec>,,,,,
<TIME: 23.09.2022 22:29:08>,,,,,
<HK-BATUSED: 0.0 % (CALC)>,,,,,
NO,TIME,#1:oC,#2:X,#3:Y,HK-BAT:V
273,05.10.2022 06:00:00,-0.497629,5.83951,-5.12327,
274,05.10.2022 07:00:00,-0.563766,5.80452,-5.12482,
275,05.10.2022 08:00:00,-0.585457,5.82083,-5.1268,
276,05.10.2022 09:00:00,-0.43043,5.84626,-5.11893,
277,05.10.2022 10:00:00,-0.563237,5.82588,-5.11274,
278,05.10.2022 11:00:00,-0.697627,5.84901,-5.119,3.455
279,05.10.2022 12:00:00,-0.723554,5.86538,-5.11484,
280,05.10.2022 13:00:00,-0.660588,5.86159,-5.11612,
281,05.10.2022 14:00:00,-0.951595,5.85308,-5.11206,
282,05.10.2022 15:00:00,-1.2791,5.86642,-5.11429,
283,05.10.2022 16:00:00,-1.39657,5.87862,-5.10913,
284,05.10.2022 17:00:00,-1.59445,5.88933,-5.10928,3.435
285,05.10.2022 18:00:00,-0.729901,5.90504,-5.11599,
286,05.10.2022 19:00:00,0.145756,5.90817,-5.12611,
287,05.10.2022 20:00:00,0.73412,5.88373,-5.12616,
288,05.10.2022 21:00:00,1.85793,5.8979,-5.14322,
289,05.10.2022 22:00:00,1.99867,5.90218,-5.12856,
290,05.10.2022 23:00:00,1.83465,5.93064,-5.12811,3.438
291,06.10.2022 00:00:00,1.49761,5.92949,-5.12217,
292,06.10.2022 01:00:00,1.01348,5.91015,-5.1116,
293,06.10.2022 02:00:00,0.956342,5.94712,-5.09917,
294,06.10.2022 03:00:00,0.613481,5.94443,-5.10779,
295,06.10.2022 04:00:00,0.493903,5.93058,-5.11414,
296,06.10.2022 05:00:00,0.436761,5.91938,-5.1244,3.428
297,06.10.2022 06:00:00,0.631471,5.95838,-5.10802,
298,06.10.2022 07:00:00,0.643112,5.95294,-5.10703,
299,06.10.2022 08:00:00,0.869572,5.94866,-5.10453,
300,06.10.2022 09:00:00,0.572738,5.95135,-5.10343,
301,06.10.2022 10:00:00,0.335703,5.96354,-5.10166,
302,06.10.2022 11:00:00,0.0558099,5.96206,-5.09787,3.457
303,06.10.2022 12:00:00,-0.0748795,5.95047,-5.10071,
304,06.10.2022 13:00:00,0.489141,5.96338,-5.10355,
305,06.10.2022 14:00:00,0.419302,5.96426,-5.10638,
306,06.10.2022 15:00:00,-0.0330774,5.94816,-5.10156,
307,06.10.2022 16:00:00,-0.0717035,5.96871,-5.09882,
308,06.10.2022 17:00:00,0.285966,5.95745,-5.10826,3.452
309,06.10.2022 18:00:00,3.24152,5.97305,-5.11921,
310,06.10.2022 19:00:00,4.37962,5.95091,-5.12311,
311,06.10.2022 20:00:00,5.13094,5.93481,-5.14311,
312,06.10.2022 21:00:00,6.37274,5.92938,-5.14989,
313,06.10.2022 22:00:00,8.54258,5.94212,-5.14825,
314,06.10.2022 23:00:00,10.1547,5.94421,-5.16301,3.435
315,07.10.2022 00:00:00,8.90396,5.92213,-5.13723,
316,07.10.2022 01:00:00,7.75476,5.82759,-5.12158,
317,07.10.2022 02:00:00,5.03358,5.82935,-5.10678,
318,07.10.2022 03:00:00,6.22247,5.83934,-5.10744,
319,07.10.2022 04:00:00,6.73888,5.83445,-5.10437,
320,07.10.2022 05:00:00,7.16163,5.86725,-5.11,3.466
321,07.10.2022 06:00:00,5.95686,5.88642,-5.10824,
322,07.10.2022 07:00:00,5.30184,5.88603,-5.0921,
323,07.10.2022 08:00:00,4.81401,5.87126,-5.07952,
324,07.10.2022 09:00:00,3.64311,5.90153,-5.08326,
325,07.10.2022 10:00:00,4.21613,5.9085,-5.09382,
326,07.10.2022 11:00:00,6.28332,5.89482,-5.1032,3.464
327,07.10.2022 12:00:00,4.17909,5.88115,-5.06764,
328,07.10.2022 13:00:00,5.16004,5.82814,-5.10538,
329,07.10.2022 14:00:00,5.8447,5.76645,-5.10061,
330,07.10.2022 15:00:00,4.73623,5.85225,-5.09881,
331,07.10.2022 16:00:00,4.76692,5.8801,-5.09499,
332,07.10.2022 17:00:00,5.46268,5.87878,-5.10466,3.425
333,07.10.2022 18:00:00,6.10025,5.86846,-5.10564,
