"Plot Title: Hobo_A"
"#","Date Time, GMT-06:00","Snow Depth, Inches (LGR S/N: 21378708, SEN S/N: 21074600)","Current, mA (LGR S/N: 21378708, SEN S/N: 21074600)"
465,11/14/22 04:12:10 PM,8.589,0.0125
466,11/14/22 10:12:10 PM,12.873,0.0125
467,11/15/22 04:12:10 AM,12.687,0.0125
468,11/15/22 10:12:10 AM,12.314,0.0125
469,11/15/22 04:12:10 PM,9.831,0.0125
470,11/15/22 10:12:10 PM,9.644,0.0125
471,11/16/22 04:12:10 AM,110.359,0.0125
472,11/16/22 10:12:10 AM,110.297,0.0125
473,11/16/22 04:12:10 PM,11.507,0.0125
474,11/16/22 10:12:10 PM,9.582,0.0125
475,11/17/22 04:12:10 AM,10.638,0.0125
476,11/17/22 10:12:10 AM,10.638,0.0125
477,11/17/22 04:12:10 PM,9.520,0.0125
478,11/17/22 10:12:10 PM,8.216,0.0125
479,11/18/22 04:12:10 AM,10.514,0.0125
480,11/18/22 10:12:10 AM,10.389,0.0125
481,11/18/22 04:12:10 PM,9.831,0.0125
482,11/18/22 10:12:10 PM,10.079,0.0125
483,11/19/22 04:12:10 AM,9.706,0.0125
484,11/19/22 10:12:10 AM,8.278,0.0125
485,11/19/22 04:12:10 PM,9.831,0.0125
486,11/19/22 10:12:10 PM,10.762,0.0125
487,11/20/22 04:12:10 AM,10.948,0.0125
488,11/20/22 10:12:10 AM,9.644,0.0125
489,11/20/22 04:12:10 PM,10.389,0.0125
490,11/20/22 10:12:10 PM,10.886,0.0125
491,11/21/22 04:12:10 AM,11.072,0.0125
492,11/21/22 10:12:10 AM,11.755,0.0125
493,11/21/22 04:12:10 PM,12.376,0.0125
494,11/21/22 10:12:10 PM,12.749,0.0125
495,11/22/22 04:12:10 AM,12.873,0.0125
496,11/22/22 10:12:10 AM,11.631,0.0125
497,11/22/22 04:12:10 PM,11.693,0.0125
498,11/22/22 10:12:10 PM,10.886,0.0125
499,11/23/22 04:12:10 AM,12.190,0.0125
500,11/23/22 10:12:10 AM,12.873,0.0125
501,11/23/22 04:12:10 PM,10.762,0.0125
502,11/23/22 10:12:10 PM,9.520,0.0125
503,11/24/22 04:12:10 AM,10.514,0.0125
504,11/24/22 10:12:10 AM,10.638,0.0125
505,11/24/22 04:12:10 PM,11.010,0.0125
506,11/24/22 10:12:10 PM,11.445,0.0125
507,11/25/22 04:12:10 AM,11.507,0.0125
508,11/25/22 10:12:10 AM,11.507,0.0125
509,11/25/22 04:12:10 PM,11.383,0.0125
510,11/25/22 10:12:10 PM,11.197,0.0125
511,11/26/22 04:12:10 AM,12.190,0.0125
512,11/26/22 10:12:10 AM,11.631,0.0125
513,11/26/22 04:12:10 PM,12.625,0.0125
514,11/26/22 10:12:10 PM,13.246,0.0125
515,11/27/22 04:12:10 AM,110.421,0.0125
516,11/27/22 10:12:10 AM,12.873,0.0125
517,11/27/22 04:12:10 PM,110.607,0.0125
518,11/27/22 10:12:10 PM,12.935,0.0125
519,11/28/22 04:12:10 AM,110.607,0.0125
