<FG2 'FG2-SHELL V4.03' (Nov 25 2020) NOW(UTC):01.08.2023 23:25:05>,,,,,,
<FILE: C:\FG2_Shell_V3\data/A543D1/raw/A543D1_20230801152430.f2b>,,,,,,
<LOGGER: $A543D1>,,,,,,
<FILESIZE: 154914 Bytes>,,,,,,
<MEMORY CLEAR>,,,,,,
<PARAMETER_SET: C:\FG2_Shell_V3\data/A543D1/par/A543D1_20220723132046.f2p>,,,,,,
<PERIOD: 3600 sec>,,,,,,
<TIME: 23.07.2022 15:34:30>,,,,,,
<HK-BATUSED: 3.3 % (CALC)>,,,,,,
NO,TIME,#1:oC,#2:X,#3:Y,HK-TEMP:oC,HK-BAT:V
344,06.08.2022 22:00:00,7.02036,8.13488,1.7563,7.02,3.431
345,06.08.2022 23:00:00,6.84894,8.09769,1.77267,,
346,07.08.2022 00:00:00,6.43306,8.07731,1.77659,,
347,07.08.2022 01:00:00,6.24417,8.09242,1.77643,,
348,07.08.2022 02:00:00,6.05634,8.07545,1.77828,,
349,07.08.2022 03:00:00,5.86374,8.07089,1.77859,,
350,07.08.2022 04:00:00,5.66162,8.07127,1.77723,5.66,3.393
351,07.08.2022 05:00:00,5.54575,8.06149,1.77858,,
352,07.08.2022 06:00:00,3.24682,8.04056,1.78606,,
353,07.08.2022 07:00:00,6.14152,8.04106,1.77068,,
354,07.08.2022 08:00:00,6.77751,8.04144,1.76894,,
355,07.08.2022 09:00:00,7.18385,8.02557,1.76598,,
356,07.08.2022 10:00:00,13.6161,7.99437,1.72259,13.61,3.438
357,07.08.2022 11:00:00,13.4971,8.01865,1.71936,,
358,07.08.2022 12:00:00,13.6939,8.01996,1.7228,,
359,07.08.2022 13:00:00,20.4526,8.00557,1.67412,,
360,07.08.2022 14:00:00,15.8696,8.04397,1.71004,,
361,07.08.2022 15:00:00,20.5494,8.0326,1.65745,,
362,07.08.2022 16:00:00,16.8378,8.03666,1.67488,16.83,3.455
363,07.08.2022 17:00:00,19.1992,8.03892,1.63842,,
364,07.08.2022 18:00:00,19.8288,8.02848,1.63295,,
365,07.08.2022 19:00:00,19.1309,8.01996,1.61868,,
366,07.08.2022 20:00:00,18.1452,7.98668,1.61081,,
367,07.08.2022 21:00:00,15.9844,7.96459,1.60822,,
368,07.08.2022 22:00:00,13.4082,7.93795,1.61202,13.4,3.454
369,07.08.2022 23:00:00,7.12671,7.90307,1.63512,,
370,08.08.2022 00:00:00,4.09179,7.90527,1.64,,
